,label,tid,time,day,poi,price,rating,weather
28984,439,12424,611,Thursday,Poppenhuesen Triangle Park,-1,-1.0,Clouds
6904,99,2728,765,Saturday,Macy's,-1,7.1,Clear
19678,343,9705,595,Tuesday,Terminal 7,-1,-1.0,Rain
42126,643,17925,793,Saturday,rock spring way,-1,-1.0,Clear
54297,819,22799,1031,Wednesday,Batcave,-1,-1.0,Clouds
33927,484,13636,1272,Tuesday,Home,-1,-1.0,Clear
57824,885,24554,350,Saturday,MTA Subway - 149th St/Grand Concourse (2/4/5),-1,-1.0,Clear
20533,349,9863,1207,Tuesday,Mom's Fried Chicken,1,-1.0,Clear
30057,443,12530,488,Tuesday,Hero Champ,1,7.5,Rain
3654,81,2194,286,Saturday,Starbucks,1,-1.0,Clouds
24250,365,10376,628,Friday,American Dream | Meadowlands,-1,5.3,Clear
43749,660,18402,63,Monday,AMC Loews Kips Bay 15,-1,8.2,Clear
44453,682,19001,1031,Saturday,435 E 79 St,-1,-1.0,Clear
2764,70,1850,1149,Thursday,Times Square,-1,9.0,Clouds
19418,319,9009,783,Thursday,Columbus Circle,-1,9.2,Clear
55186,834,23195,609,Saturday,The Village at Little Falls,-1,-1.0,Clear
16652,293,8238,641,Tuesday,Casa Senor Cigar,-1,-1.0,Clear
838,14,359,337,Wednesday,Madison Square Park,-1,9.6,Clouds
14680,262,7382,1043,Wednesday,Foodtown,-1,-1.0,Clouds
45712,699,19531,1173,Friday,Verrazano-Narrows Bridge (Verrazano–Narrows Bridge),-1,-1.0,Clear
45856,702,19612,876,Saturday,George Washington Bridge,-1,-1.0,Clear
41579,635,17661,1391,Tuesday,MTA Subway - Sutter Ave/Rutland Rd (3),-1,-1.0,Clouds
43302,652,18167,1394,Friday,Brooklyn Bowl,-1,9.1,Clear
47979,723,20171,725,Monday,Kashkaval Cheese Market,2,-1.0,Clouds
24563,371,10564,1106,Thursday,Smoke Corner,-1,-1.0,Clouds
55281,834,23202,1244,Monday,The Sweaty Sauna,-1,-1.0,Clouds
18509,315,8939,579,Sunday,Liberty Petroleum,-1,-1.0,Clouds
37425,529,14863,711,Wednesday,Brooklyn Bridge,-1,9.6,Clouds
3302,80,2138,560,Sunday,Sundays @ Senesh,-1,-1.0,Clouds
11169,185,5186,66,Friday,Starbucks,2,7.4,Clear
28326,425,12034,959,Wednesday,7-Eleven,-1,5.9,Clear
31422,448,12656,993,Sunday,New York Ave,-1,-1.0,Rain
44534,682,19012,1181,Tuesday,Gramercy Theatre,-1,8.3,Clouds
62180,951,26301,607,Sunday,MTA Subway - 190th St (A),-1,-1.0,Clear
50005,745,20817,1138,Thursday,McDonald's,1,4.9,Clouds
52210,768,21368,591,Saturday,Dunkin Donuts,1,6.3,Clear
65050,1017,28205,617,Friday,Foodtown,-1,6.8,Clear
66655,1055,29148,561,Wednesday,Pinkyotto Office,-1,-1.0,Clouds
53953,816,22720,938,Friday,Subway,1,6.5,Clear
31298,445,12595,953,Friday,MTA Subway - Manhattan Bridge (B/D/N/Q),-1,-1.0,Clear
59908,916,25337,1134,Saturday,Starbucks,1,8.0,Clear
47637,722,20139,651,Thursday,360 Schermerhorn St.,-1,-1.0,Clear
2356,65,1743,918,Friday,Popular Community Bank,-1,-1.0,Clear
61956,951,26293,1073,Tuesday,MTA Subway - 42nd St/Times Square/Port Authority Bus Terminal (A/C/E/N/Q/R/S/W/1/2/3/7),-1,-1.0,Clouds
6976,99,2733,1185,Tuesday,Panera Bread,2,7.5,Clouds
28333,425,12034,704,Thursday,The Joker's Child Comics,-1,8.5,Clear
25679,384,10891,437,Monday,Chase Bank,-1,-1.0,Clouds
57896,885,24558,1352,Thursday,MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),-1,-1.0,Clear
65895,1044,28840,1076,Saturday,George Washington Bridge,-1,-1.0,Rain
3784,81,2205,1391,Sunday,MTA Subway - 96th St (6),-1,-1.0,Clouds
64452,1006,27889,1184,Thursday,amby grocery,1,-1.0,Clear
50350,750,20915,1189,Sunday,"My Command Center, Location Does Not Exists = OFF THE GRID",-1,-1.0,Clear
1918,50,1357,1312,Tuesday,ECP East New York EMT Class,-1,-1.0,Clouds
5107,84,2291,358,Wednesday,Pacific Palisades #1R,-1,-1.0,Clouds
41773,638,17768,781,Wednesday,Giovanni's Famous Pizzeria,1,-1.0,Clouds
50661,752,20988,788,Saturday,Hawk Crossings,-1,-1.0,Clear
45471,689,19239,690,Wednesday,John F. Kennedy International Airport (JFK) (John F. Kennedy International Airport),-1,7.0,Clear
66739,1055,29153,1119,Wednesday,Fashion Institute of Technology,-1,-1.0,Clear
49413,742,20737,498,Tuesday,Heat Madness,-1,-1.0,Clouds
13744,208,5845,1092,Friday,Benefit Cosmetics,-1,9.0,Clear
26509,384,10912,628,Friday,MTA Subway - 28th St (6),-1,-1.0,Clouds
26855,386,10957,569,Thursday,Raceway Gas Station,-1,4.5,Clear
33217,474,13383,884,Tuesday,Bally Total Fitness,-1,5.7,Clouds
15601,293,8210,273,Sunday,MTA B46 To Kings Plaza,-1,-1.0,Clear
19497,319,9012,702,Wednesday,MTA Subway - Manhattan Bridge (B/D/N/Q),-1,-1.0,Clear
57782,885,24552,681,Saturday,MTA Subway - 3rd Ave/149th St (2/5),-1,-1.0,Clouds
31913,458,12948,623,Friday,Bedford-Stuyvesant YMCA,-1,8.2,Clouds
6203,95,2606,1230,Monday,All Saints Episcopal Church,-1,-1.0,Clouds
27040,390,11049,504,Thursday,Trump Building,-1,-1.0,Clear
27699,412,11681,1127,Friday,Birreria at Eataly,2,8.6,Clouds
39286,589,16437,1185,Tuesday,The Kitchen,-1,-1.0,Clouds
7313,120,3286,1391,Saturday,MTA Subway - Nevins St (2/3/4/5),-1,-1.0,Clouds
50037,745,20818,1385,Tuesday,Arlene's Grocery,-1,8.1,Clear
53778,816,22709,1132,Friday,Westfield Garden State Plaza,-1,8.3,Clear
12460,185,5215,5,Friday,My uncomfortable shitty bed :(,-1,-1.0,Clear
60849,934,25865,656,Wednesday,Central Park - The Yard,-1,8.5,Clouds
50086,745,20819,1001,Saturday,Boss Tweed's Saloon,2,5.9,Clear
18145,315,8931,770,Monday,New Ming Fat Chinese Restaurant,1,-1.0,Clear
66496,1054,29118,979,Sunday,Union Toll Plaza,-1,5.1,Clouds
66460,1054,29115,928,Wednesday,Sanctuary,-1,-1.0,Clouds
24314,365,10380,19,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),-1,9.3,Clouds
50786,752,20995,740,Wednesday,University Hall,-1,-1.0,Clouds
21128,349,9888,1262,Tuesday,Eastern Chinese Style,1,-1.0,Clear
32926,472,13338,863,Thursday,332 East 29 th street,-1,-1.0,Clouds
40618,617,17195,1025,Thursday,Lukoil,-1,5.6,Clear
62070,951,26296,1031,Wednesday,Chefs Diet,-1,-1.0,Clouds
61271,943,26124,1293,Wednesday,Zeppelin Hall Biergarten,2,8.6,Clouds
63417,980,27203,831,Tuesday,Opening Ceremony,-1,8.2,Clouds
57830,885,24555,341,Monday,MTA Subway - 3rd Ave/149th St (2/5),-1,-1.0,Clouds
58653,895,24813,1100,Saturday,Stephenson Playground,-1,-1.0,Clouds
55114,834,23193,738,Sunday,Platinum Fitness,-1,7.6,Clouds
7221,119,3258,1206,Thursday,Shake Shack,2,9.2,Clouds
9298,171,4797,757,Thursday,Starbucks,1,6.3,Clear
56112,872,24244,109,Friday,The West End Lounge,2,6.7,Clouds
17390,293,8250,942,Friday,Lexington Ave,-1,-1.0,Clouds
29633,440,12455,1057,Thursday,MTA Subway - Court Sq/23rd St (E/M),-1,-1.0,Clear
64128,992,27480,1274,Monday,Starbucks,3,7.8,Clear
31971,458,12949,389,Thursday,MTA Subway - Broadway Junction (A/C/J/L/Z),-1,-1.0,Clouds
58928,900,24960,1271,Tuesday,New York Sports Clubs,-1,5.8,Clear
59184,901,24981,103,Monday,Casa De Cattdaddy,-1,-1.0,Clouds
14038,236,6642,21,Wednesday,Sexyrastadredmon@My Place Called Home,-1,-1.0,Clear
55215,834,23196,891,Saturday,Bed Bath & Beyond,-1,8.0,Fog
1806,50,1346,1396,Monday,MTA Subway - Woodhaven Blvd (J/Z),-1,-1.0,Clouds
19840,344,9720,502,Monday,Queens College - Dining Hall,-1,-1.0,Clouds
55279,834,23202,1125,Monday,Finally @ Home,-1,-1.0,Clouds
45485,689,19240,570,Monday,New York Hilton Midtown,-1,7.6,Clear
17588,295,8284,729,Sunday,Dunkin Donuts,1,-1.0,Clear
35964,521,14653,494,Thursday,MTA Subway - Manhattan Bridge (B/D/N/Q),-1,-1.0,Clear
25011,372,10578,677,Sunday,Graffiti | Metaphor,1,-1.0,Clear
24946,372,10576,778,Tuesday,Sunrise Mart,-1,8.9,Clouds
42173,643,17928,963,Tuesday,Ellengasm Time,-1,-1.0,Clouds
2320,65,1739,621,Thursday,Moe's Southwest Grill,1,7.2,Clear
16472,293,8232,980,Saturday,MTA B46 To Kings Plaza,-1,-1.0,Clouds
27662,412,11679,514,Tuesday,"HBR, LLP",-1,-1.0,Clouds
25164,372,10587,818,Sunday,Urban Outfitters,-1,7.2,Clouds
1172,25,637,1305,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),-1,9.3,Clouds
64329,1006,27868,587,Tuesday,Two Hands Deli & Grocery,1,-1.0,Clouds
27329,396,11209,390,Tuesday,J. Hood Wright Dog Park,-1,7.0,Rain
64370,1006,27871,1202,Friday,ho wah restaurant,1,-1.0,Clouds
4110,82,2231,1146,Thursday,CVS/pharmacy,-1,6.8,Clouds
17331,293,8249,9,Sunday,Dilruba Deli & Grocery,1,-1.0,Clear
57793,885,24553,432,Tuesday,158th Street and third ave,1,-1.0,Rain
49937,744,20809,1236,Friday,DSW Designer Shoe Warehouse,-1,7.8,Clouds
58631,895,24812,1421,Friday,Stephenson Park,-1,-1.0,Clear
24238,365,10376,774,Monday,Lansky's Deli,2,-1.0,Clouds
56536,877,24358,718,Monday,Boro Park Center,-1,-1.0,Clouds
47354,718,20031,1308,Tuesday,MTA Subway - 174th St (2/5),-1,-1.0,Clear
53426,806,22446,215,Sunday,Industry Bar,2,7.9,Clouds
9890,178,4986,573,Friday,Walgreens,-1,6.6,Clear
19755,343,9710,588,Wednesday,Terminal B (Central Terminal),-1,-1.0,Clear
50680,752,20989,1129,Wednesday,Richardson Hall,-1,-1.0,Clouds
62286,974,26997,757,Sunday,Fire Pit in South Ozone Park,-1,-1.0,Rain
27839,422,11981,234,Friday,home,-1,-1.0,Clouds
16135,293,8223,151,Saturday,MTA B46 To Kings Plaza,-1,-1.0,Clear
30027,443,12529,607,Wednesday,Health Plus,-1,-1.0,Clouds
23739,355,10072,1237,Wednesday,Crush-pocolypse,-1,-1.0,Clear
23471,354,10055,620,Thursday,Agape Love International,-1,-1.0,Clear
7736,120,3320,790,Thursday,Federal Building,-1,-1.0,Clear
2031,56,1517,963,Saturday,Blind Pig,2,7.0,Fog
14214,246,6916,852,Saturday,Nom Wah Tea Parlor,1,8.8,Clouds
10610,182,5102,236,Sunday,AnVilEntertainmentRecorders World HQ,-1,-1.0,Clear
13754,208,5846,797,Thursday,Miss Lily's & Melvin's Juice Box,3,9.3,Clear
25895,384,10894,1198,Saturday,555 Club,2,-1.0,Clouds
37857,533,14962,621,Monday,3xLOGIC Northeast Office,-1,-1.0,Clouds
17247,293,8247,952,Sunday,United Cigars Inc.,-1,-1.0,Clouds
17381,293,8250,831,Thursday,WNYC Cafe,-1,-1.0,Clouds
62305,974,26998,42,Tuesday,Fire Pit in South Ozone Park,-1,-1.0,Clouds
3949,82,2222,1158,Monday,QCC - Humanities 453,-1,-1.0,Clear
57954,885,24561,430,Thursday,MTA Subway - 149th St/Grand Concourse (2/4/5),-1,-1.0,Clouds
8029,121,3331,833,Sunday,Walking Peter Pan <3,-1,-1.0,Clear
41296,628,17504,679,Saturday,QuickChek,-1,6.4,Clouds
32108,458,12951,998,Saturday,MTA Subway - Broadway Junction (A/C/J/L/Z),-1,-1.0,Clear
31736,448,12671,377,Saturday,Citi Bike Station,-1,-1.0,Clouds
16129,293,8223,1229,Friday,MTA Subway - 14th St (A/C/E/L),-1,-1.0,Clear
55302,834,23211,422,Tuesday,Home,-1,-1.0,Clear
34894,495,13916,825,Wednesday,Times Square,-1,9.0,Clouds
14347,246,6927,905,Saturday,Hamptons Market Place,1,-1.0,Clouds
64718,1017,28191,589,Saturday,Pelham Bay Park,-1,8.9,Clear
43359,652,18170,952,Thursday,Lowe's Home Improvement,-1,7.3,Clouds
65126,1019,28244,1211,Saturday,Fish,2,8.7,Clouds
37641,531,14897,664,Monday,Paul's House Of Fish,3,-1.0,Rain
42654,646,18011,530,Monday,STELLAAAAA!,-1,-1.0,Clear
33529,475,13418,1111,Monday,Essex Street Market,-1,8.7,Clouds
6833,99,2711,543,Friday,North Jersey Orthopedics Specialists,-1,-1.0,Clear
19967,344,9741,848,Saturday,McDonald's,1,5.2,Clouds
42037,642,17896,1040,Monday,245 E 87th St,-1,-1.0,Clouds
15261,280,7832,822,Friday,Natural Frontier Market,-1,8.0,Clouds
11518,185,5191,964,Friday,Four Seasons,-1,-1.0,Clouds
1929,50,1358,475,Monday,Jollibee,1,8.7,Clear
59931,916,25338,1028,Friday,Voorhees,-1,-1.0,Clear
13929,236,6633,1010,Friday,Sexydredmon@ Peachy Clean Towels Svc,-1,-1.0,Clear
10494,181,5071,140,Monday,MTA Subway - 14th St/Union Square (4/5/6/L/N/Q/R/W),-1,-1.0,Clouds
20064,344,9747,743,Wednesday,Queens College,-1,-1.0,Clear
23602,355,10065,352,Tuesday,Grainger,-1,-1.0,Clouds
66075,1047,28911,588,Friday,Fantastic Kids Toys,-1,6.7,Clouds
54503,820,22816,467,Wednesday,Dr. Chhabra Dental Office,-1,-1.0,Clouds
25147,372,10587,1124,Monday,Blink Fitness Noho,-1,7.0,Clouds
24249,365,10376,1163,Thursday,Columbus Gourmet Food,1,5.6,Clear
31733,448,12671,354,Saturday,NJT - Bus Stop,-1,-1.0,Clouds
28364,425,12039,737,Friday,Team Brootal HQ,-1,-1.0,Clear
22925,354,10034,54,Sunday,MTA Subway - Smith/9th St (F/G),-1,-1.0,Clouds
37793,533,14949,540,Saturday,Dunkin' Donuts,1,5.4,Clear
54245,819,22797,358,Tuesday,MTA B82,-1,-1.0,Clouds
47099,706,19728,233,Sunday,The Gentleman's Reading Lodge @ Shibby's Den,-1,-1.0,Clouds
8449,144,4007,594,Monday,My House,-1,-1.0,Clear
42709,646,18013,944,Friday,NYU Stern School of Business,-1,-1.0,Clear
2347,65,1743,37,Tuesday,mi casita,-1,-1.0,Clear
26726,386,10944,788,Wednesday,Home,-1,-1.0,Rain
56212,872,24247,1436,Friday,My Block,-1,-1.0,Clear
31646,448,12667,518,Friday,CVS/Pharmacy,-1,6.5,Clear
61438,943,26137,1210,Saturday,Patrick Kavanagh's,1,-1.0,Clear
54337,819,22801,1016,Sunday,Domino's Pizza,1,6.5,Clouds
17632,295,8290,83,Wednesday,Cafe Wha?,-1,8.7,Clouds
12240,185,5210,1243,Tuesday,UNIQLO NJ Garden State Plaza,-1,8.7,Clouds
37680,531,14898,770,Sunday,Dumont Hot Bagels,2,8.0,Clear
53576,816,22696,492,Monday,Pitkin Education Center,-1,-1.0,Clear
37872,533,14977,651,Friday,Dunkin' Donuts,1,7.8,Clouds
45461,689,19237,15,Saturday,Webster Hall,-1,-1.0,Clouds
27206,396,11205,545,Monday,Interchurch Center,-1,-1.0,Clouds
63071,976,27071,988,Tuesday,Raylz HQ,-1,-1.0,Clear
41995,642,17893,1376,Wednesday,Rite Aid,-1,5.3,Clear
60960,934,25872,1299,Saturday,Walgreens,-1,6.3,Clear
29380,439,12447,590,Friday,MTA Q20B Bus,-1,-1.0,Clouds
30157,443,12533,638,Saturday,Target,-1,6.9,Clouds
13808,208,5853,553,Monday,The Bean,1,7.8,Clear
48102,730,20379,780,Tuesday,Times Square,-1,9.0,Clouds
23766,355,10073,1130,Sunday,La Casa,-1,-1.0,Clouds
53269,806,22434,731,Friday,ONS Clothing,-1,8.9,Clear
33486,475,13414,1209,Saturday,Big Gay Ice Cream Shop,1,8.9,Clear
43303,652,18167,808,Saturday,Hoboken Vine,-1,6.9,Clear
21702,354,10022,1081,Tuesday,Burger King,1,4.8,Clouds
61681,951,26287,1062,Wednesday,MTA Subway - Rector St (R/W),-1,-1.0,Clear
40808,621,17278,1164,Monday,Salem & Sons Bakery,1,8.5,Clouds
47166,708,19766,522,Saturday,TheBestkinds Crib!,-1,-1.0,Clear
27848,422,11981,838,Friday,Jay's,-1,-1.0,Clouds
48709,734,20500,732,Friday,110 Lawrence Ave Dumont Nj,-1,-1.0,Clouds
42349,643,17938,996,Wednesday,US Post Office,-1,-1.0,Clear
28917,439,12422,563,Thursday,Peter's Deli,1,-1.0,Clouds
47465,718,20035,481,Wednesday,A. Philip Randolph Campus High School @ City College,-1,-1.0,Rain
52375,768,21371,1030,Tuesday,Fine Fare,-1,-1.0,Clouds
63741,990,27433,507,Saturday,Best Western Jfk Airport Hotel,-1,5.0,Clear
32785,472,13321,867,Tuesday,ARN Deli Supermarket,1,-1.0,Rain
59173,901,24980,971,Wednesday,Gate 12,-1,-1.0,Clouds
41928,638,17788,530,Tuesday,Starbucks,1,6.6,Clear
58294,891,24719,945,Sunday,Liberty Place Apartments,-1,-1.0,Rain
47563,722,20137,1145,Tuesday,MTA Subway - 8th Ave (N),-1,-1.0,Clear
1392,34,908,590,Thursday,House Of Jello,-1,-1.0,Clouds
21363,349,9892,583,Friday,New Jersey / New York State Border,-1,-1.0,Clouds
55073,827,23052,1284,Sunday,Press 195,2,9.1,Clear
27783,422,11974,186,Tuesday,McDonald's,1,6.6,Clear
19224,315,8959,777,Friday,New Ming Fat Chinese Restaurant,1,-1.0,Clouds
45848,702,19612,605,Wednesday,St. Francis College,-1,-1.0,Clouds
31956,458,12949,1058,Tuesday,MTA Subway - Broadway Junction (A/C/J/L/Z),-1,-1.0,Clouds
61417,943,26134,1027,Thursday,Exxon,-1,5.0,Clouds
16786,293,8240,813,Wednesday,Duane Reade,-1,-1.0,Clear
62044,951,26295,500,Friday,MTA Subway - 190th St (A),-1,-1.0,Clear
11167,185,5186,1179,Thursday,Chase Bank,-1,7.1,Clear
60318,928,25681,1023,Wednesday,MTA Subway - 170th St (4),-1,-1.0,Clear
31942,458,12949,924,Monday,New York City College of Technology,-1,-1.0,Clouds
4219,84,2278,740,Monday,Michael and Ping's,2,7.0,Clear
28369,425,12039,1376,Saturday,ShopRite,-1,6.7,Clear
19980,344,9743,871,Tuesday,Papaya King,1,8.1,Clear
2706,70,1839,703,Friday,3 East 28th Street,-1,-1.0,Clouds
6362,95,2609,522,Friday,MTA Subway - 69th St/Fisk Ave (7),-1,-1.0,Clear
46979,706,19724,1004,Wednesday,Five Towns Shopping Center,-1,7.8,Clear
58674,895,24814,1136,Sunday,Stephenson Playground,-1,-1.0,Clear
25559,384,10889,1421,Friday,555 Club,2,-1.0,Clear
58309,891,24720,460,Friday,Liberty Place Apartments,-1,-1.0,Clouds
32013,458,12950,373,Thursday,MTA Subway - E 105th St (L),-1,-1.0,Clouds
11135,185,5186,511,Monday,The Bush Hot Tub :),-1,-1.0,Clear
27036,390,11047,1140,Sunday,Mable's Smokehouse & Banquet Hall,1,8.4,Clear
37361,529,14856,715,Tuesday,New York City Police Department Headquarters,-1,-1.0,Clouds
64720,1017,28191,590,Saturday,Co-Op City,-1,-1.0,Clear
46398,706,19717,29,Wednesday,Walgreens,-1,7.7,Clouds
7397,120,3288,1419,Thursday,MTA Subway - 62nd St/New Utrecht Ave (D/N),-1,-1.0,Clear
10320,178,5000,1125,Saturday,Trump Place Dog Run,-1,-1.0,Clouds
50949,753,21014,388,Wednesday,2 Journal Square Plaza,-1,-1.0,Clear
61330,943,26128,1154,Tuesday,Grove Street Bicycles,-1,8.2,Clear
43958,662,18448,848,Friday,Trader Joe's,-1,9.0,Clouds
51276,754,21051,469,Wednesday,McMahon Hall,-1,-1.0,Clouds
14860,267,7509,482,Thursday,Workmen's Circle MultiCare Center,-1,-1.0,Clear
54288,819,22798,356,Sunday,Javons Home,-1,-1.0,Clouds
23310,354,10048,849,Tuesday,MTA Subway - Jamaica Center/Parsons/Archer (E/J/Z),-1,-1.0,Clear
11672,185,5194,581,Tuesday,Gardner Field,-1,-1.0,Fog
3869,82,2215,1255,Friday,Cheeburger Cheeburger,1,-1.0,Clear
4230,84,2278,1139,Monday,Hofbräu Bierhaus NYC,2,8.2,Clouds
7920,121,3328,142,Saturday,Potter :/,-1,-1.0,Clouds
34998,495,13919,726,Tuesday,MTA Subway - 42nd St/Times Square/Port Authority Bus Terminal (A/C/E/N/Q/R/S/W/1/2/3/7),-1,-1.0,Rain
16349,293,8229,606,Monday,Casa Senor Cigar,-1,-1.0,Clear
4224,84,2278,928,Monday,Men's Restroom,-1,-1.0,Clouds
15861,293,8216,720,Friday,My house,-1,-1.0,Clear
63948,990,27447,541,Monday,InterContinental New York Times Square,-1,8.5,Clear
52600,768,21375,815,Friday,The Camizzi Car Hold,-1,-1.0,Fog
26255,384,10902,548,Wednesday,Anita's Delicatessen,2,-1.0,Clear
22428,354,10028,513,Friday,MTA Subway - 4th Ave/9th St (F/G/R),-1,-1.0,Clouds
8962,154,4309,1101,Saturday,McDonald's,1,5.0,Clear
58965,900,24962,1006,Tuesday,Williams-Sonoma,-1,8.8,Rain
14473,254,7165,1247,Saturday,McDonald's,1,5.6,Clear
3851,82,2214,1025,Tuesday,Victoria's Secret PINK,-1,8.1,Clouds
13984,236,6638,1214,Thursday,Sexydredmon At Blimpes On West 145th,2,-1.0,Clouds
21046,349,9879,624,Friday,W New York - Times Square,-1,9.1,Clouds
39398,589,16453,1217,Monday,Home,-1,-1.0,Clouds
31522,448,12659,546,Saturday,NJT Bus 156,-1,-1.0,Clear
28186,425,12026,705,Friday,The Joker's Child Comics,-1,8.5,Clear
52493,768,21373,1117,Friday,Gregory's Hallmark,-1,5.2,Clear
51398,754,21057,541,Friday,Quinn Library,-1,-1.0,Clouds
28021,422,11990,1080,Wednesday,VA Medical Center - East Orange,-1,-1.0,Clouds
12006,185,5202,1185,Friday,Hottest Woman On Earth Hitting On Me,-1,-1.0,Clouds
56314,872,24249,1383,Saturday,MTA Subway - 96th St (1/2/3),-1,-1.0,Clouds
64007,992,27474,548,Thursday,PS 215,-1,-1.0,Clouds
16416,293,8231,846,Wednesday,MTA Subway - Spring St (C/E),-1,-1.0,Clouds
9368,171,4815,1189,Wednesday,Gourmet Garage,-1,7.8,Clear
16995,293,8243,1208,Wednesday,Vandam Diner,2,-1.0,Clear
38435,572,15992,1251,Friday,Respite,3,-1.0,Clear
31238,445,12594,897,Monday,AAA 99¢ & More,-1,-1.0,Clear
26575,386,10927,782,Tuesday,Star Career Academy,-1,-1.0,Clouds
25882,384,10893,338,Friday,NYC Department Of Education,-1,-1.0,Clear
56941,881,24449,1432,Friday,Mijana Hookah Lounge & Restaurant,2,6.2,Clouds
17927,315,8927,783,Thursday,Napoli's Pizza,1,8.5,Clouds
28172,425,12025,1291,Friday,Team Brootal HQ,-1,-1.0,Clear
54213,819,22795,1344,Sunday,Javons Home,-1,-1.0,Clouds
45156,689,19216,570,Saturday,New York Hilton Midtown,-1,7.6,Clear
48842,734,20510,88,Friday,110 Lawrence Ave Dumont Nj,-1,-1.0,Clear
24206,365,10373,1369,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),-1,9.3,Clear
63186,976,27078,1143,Saturday,MTA Subway - 66th St/Lincoln Center (1),-1,-1.0,Clear
45279,689,19227,150,Friday,New York Hilton Midtown,-1,7.6,Clear
52856,768,21405,187,Sunday,Starbucks,1,8.1,Clouds
8863,153,4277,931,Tuesday,Taglialatella Galleries,-1,8.8,Clouds
26466,384,10911,1269,Friday,One Union Square South Sky Terrace,-1,-1.0,Rain
8595,150,4172,1411,Saturday,Columbus Circle,-1,9.2,Clear
61760,951,26289,500,Tuesday,MTA Subway - 125th St (1),-1,-1.0,Clear
28897,439,12422,1135,Monday,Dimitria's Casa,-1,-1.0,Clouds
22952,354,10035,623,Monday,MTA Subway - Atlantic Ave/Barclays Center (B/D/N/Q/R/2/3/4/5),-1,-1.0,Clear
1094,25,632,746,Friday,Nasty Pig,-1,8.7,Clouds
